geo,year,sm_participation,inflation,unemployment,cci,Facebook,Instagram,YouTube,LinkedIn,ent_share,prof_share,ent_minus_prof
AL,2018,48.33,,,,79.24083333333333,3.0941666666666667,7.065,0.29833333333333334,89.39999999999999,0.29833333333333334,89.10166666666667
AL,2019,52.13,,,,69.00333333333333,5.556666666666666,4.623333333333334,0.2758333333333333,79.18333333333334,0.2758333333333333,78.9075
AL,2020,54.8,,,,75.62,6.1433333333333335,3.115,0.1575,84.87833333333333,0.1575,84.72083333333333
AL,2021,60.77,,,,91.66083333333334,1.36,1.0358333333333334,0.11583333333333334,94.05666666666667,0.11583333333333334,93.94083333333333
AL,2022,64.07,,,,93.21833333333332,1.83,1.0875000000000001,0.13999999999999999,96.13583333333334,0.13999999999999999,95.99583333333334
AL,2023,66.27,,,,92.63333333333333,4.28,0.49833333333333335,0.06583333333333334,97.41166666666668,0.06583333333333334,97.34583333333332
AL,2024,68.95,,,,92.47583333333334,4.2725,0.35250000000000004,0.115,97.10083333333334,0.115,96.98583333333333
AT,2013,37.45,1.9822109275730693,5.708333333333333,99.5975975,78.09916666666666,0.0,4.810833333333334,0.13166666666666668,82.91,0.13166666666666668,82.77833333333332
AT,2014,44.24,0.8057147603621528,6.05,99.52417083333334,83.27,0.0,0.965,0.03833333333333334,84.235,0.03833333333333334,84.19666666666667
AT,2015,45.33,1.07119314436388,6.158333333333334,99.70536166666666,83.95083333333334,0.0,0.14916666666666667,0.041666666666666664,84.1,0.041666666666666664,84.05833333333332
AT,2016,49.02,1.5816076960704306,6.466666666666666,100.19476083333332,84.63916666666667,0.22833333333333336,0.22,0.07833333333333332,85.08749999999999,0.07833333333333332,85.00916666666667
AT,2017,51.19,2.3354735152488093,5.949999999999999,101.10465833333335,80.82333333333334,1.1908333333333334,1.9666666666666668,0.1325,83.98083333333334,0.1325,83.84833333333334
AT,2018,53.17,1.709669829817262,5.2250000000000005,101.39498333333334,70.05499999999999,2.3850000000000002,4.820833333333334,0.17833333333333334,77.26083333333334,0.17833333333333334,77.0825
AT,2019,55.55,1.8351453465957235,4.825,100.90170833333333,74.38833333333334,2.5625,2.841666666666667,0.1325,79.7925,0.1325,79.66000000000001
AT,2020,59.54,1.014613462557734,6.1000000000000005,99.58611,75.07166666666667,2.73,2.5575,0.10416666666666667,80.35916666666667,0.10416666666666667,80.25500000000001
AT,2021,57.11,3.785323439022581,6.166666666666667,100.48819916666667,71.2325,2.704166666666667,3.5141666666666667,0.28583333333333333,77.45083333333334,0.28583333333333333,77.165
AT,2022,61.47,10.537339303770054,4.733333333333333,97.07897000000001,71.65916666666666,8.304166666666667,3.6816666666666666,0.27166666666666667,83.645,0.27166666666666667,83.37333333333333
AT,2023,63.42,5.65174779483828,5.125,97.38709083333333,64.6075,16.163333333333334,3.6391666666666667,0.375,84.41,0.375,84.035
AT,2024,64.74,2.133580705009286,5.175,98.65249416666667,62.96666666666667,16.399166666666666,3.6799999999999997,0.5141666666666667,83.04583333333333,0.5141666666666667,82.53166666666667
BA,2018,46.09,,,,95.77583333333332,2.02,0.7975,,98.59333333333332,0.0,98.59333333333332
BA,2019,45.84,,,,98.90583333333332,0.3641666666666667,0.14,,99.41000000000001,0.0,99.41000000000001
BA,2020,50.04,,,,99.03583333333334,0.29416666666666663,0.09833333333333333,,99.42833333333333,0.0,99.42833333333333
BA,2021,49.65,,17.233333333333334,,97.00083333333333,0.7141666666666667,0.4916666666666667,,98.20666666666666,0.0,98.20666666666666
BA,2023,57.74,,13.424999999999999,,82.97916666666667,8.049166666666666,1.9116666666666668,,92.94,0.0,92.94
BA,2024,65.46,,12.725,,83.36749999999999,7.9624999999999995,1.4116666666666668,,92.74166666666667,0.0,92.74166666666667
BE,2013,46.64,1.166107382550341,8.558333333333334,100.27289666666667,77.47416666666666,0.0,4.1475,0.3566666666666667,81.62166666666667,0.3566666666666667,81.265
BE,2014,52.43,-0.38975039389667065,8.658333333333333,100.7918525,86.58583333333333,0.0,0.7975,0.08583333333333333,87.38333333333333,0.08583333333333333,87.2975
BE,2015,66.72,1.4485514485514495,8.666666666666666,100.54776666666667,82.06583333333333,0.0,0.12583333333333332,0.08833333333333333,82.19166666666666,0.08833333333333333,82.10333333333334
BE,2016,69.31,2.19924503528639,7.841666666666666,100.34535833333332,80.44,0.12916666666666665,0.16583333333333333,0.16666666666666666,80.735,0.16666666666666666,80.56833333333334
BE,2017,72.02,2.0555644772763726,7.1000000000000005,101.16244166666667,74.80499999999999,1.0383333333333333,1.67,0.2575,77.51333333333334,0.2575,77.25583333333333
BE,2018,72.6,2.202989771833219,5.983333333333333,100.81191666666666,64.66083333333333,2.138333333333333,4.113333333333333,0.32666666666666666,70.91250000000001,0.32666666666666666,70.58583333333333
BE,2019,75.53,0.9160892994611203,5.358333333333333,99.93882,63.385,2.739166666666667,2.5433333333333334,0.26166666666666666,68.6675,0.26166666666666666,68.40583333333333
BE,2020,78.9,0.3585323060492751,5.558333333333334,99.63759750000001,61.00083333333333,3.355,2.1591666666666667,0.19000000000000003,66.515,0.19000000000000003,66.325
BE,2021,62.78,6.590148981453314,6.2749999999999995,101.29980833333333,63.9,3.4791666666666665,2.5191666666666666,0.5166666666666667,69.89833333333333,0.5166666666666667,69.38166666666667
BE,2022,67.84,10.211794908364835,5.55,98.19837916666667,70.96916666666667,6.196666666666666,1.9325,0.3875,79.09833333333334,0.3875,78.71083333333333
BE,2023,68.48,0.5370430281462113,5.5249999999999995,99.52681416666667,69.2625,10.08,2.018333333333333,0.5633333333333334,81.36083333333333,0.5633333333333334,80.7975
BE,2024,72.26,4.408546788518475,5.708333333333333,99.9762,64.74,11.726666666666667,3.4275,0.8658333333333333,79.89416666666666,0.8658333333333333,79.02833333333332
BG,2013,37.3,-0.8557540905045569,13.924999999999999,,90.99166666666667,0.0,2.1366666666666667,0.1125,93.12833333333333,0.1125,93.01583333333333
BG,2014,39.57,-1.954149979284614,12.391666666666666,,90.22166666666668,0.0,1.7366666666666666,0.05583333333333334,91.95833333333333,0.05583333333333334,91.90249999999999
BG,2015,42.15,-0.8944291851538888,10.125,,93.6425,0.0,0.0825,0.055,93.72500000000001,0.055,93.67
BG,2016,45.03,-0.49744172825467725,8.566666666666666,,94.40583333333332,0.017499999999999998,0.3416666666666666,0.15083333333333335,94.765,0.15083333333333335,94.61416666666666
BG,2017,49.95,1.7926010569918605,7.1499999999999995,,97.03666666666668,0.12666666666666668,0.48666666666666664,0.06999999999999999,97.64999999999999,0.06999999999999999,97.58
BG,2018,51.36,2.315302041675449,6.183333333333334,,94.88083333333333,0.40750000000000003,1.7216666666666667,0.0575,97.00999999999999,0.0575,96.9525
BG,2019,52.85,3.0994994171295254,5.183333333333334,,94.86083333333333,0.505,1.0483333333333333,0.0525,96.41416666666667,0.0525,96.36166666666666
BG,2020,54.74,0.013302294645822776,6.041666666666667,,95.86666666666666,0.765,0.745,0.029166666666666664,97.37666666666667,0.029166666666666664,97.34750000000001
BG,2021,60.05,6.590410321207685,5.175,,97.23416666666667,0.7575,0.5175,0.03333333333333333,98.50916666666666,0.03333333333333333,98.47583333333334
BG,2022,63.42,14.324931370102334,4.158333333333333,,97.96583333333332,0.7575,0.4066666666666667,0.030833333333333334,99.13,0.030833333333333334,99.09916666666668
BG,2023,64.2,4.987993887797426,4.316666666666666,,97.42666666666666,1.0775,0.7141666666666667,0.021666666666666667,99.21833333333332,0.021666666666666667,99.19666666666666
BG,2024,64.99,2.0844162594864324,4.166666666666667,,97.765,0.6633333333333333,1.1525,0.0375,99.58083333333333,0.0375,99.54333333333334
CH,2014,42.86,-0.09652509652509078,4.833333333333333,100.95031666666667,80.33166666666666,0.0,1.0266666666666666,0.1425,81.35833333333333,0.1425,81.21583333333334
CH,2017,52.72,1.098469988230688,4.783333333333333,100.65261666666667,73.18083333333333,1.3166666666666667,1.4875,0.4058333333333333,75.985,0.4058333333333333,75.57916666666667
CH,2019,53.26,-0.06737247353224562,4.383333333333334,99.73805416666666,63.0225,3.4499999999999997,2.57,0.5658333333333333,69.0425,0.5658333333333333,68.47666666666667
CH,2021,67.1,1.3225712340756646,4.991666666666666,100.59095666666667,59.86833333333333,3.814166666666667,2.8541666666666665,1.0999999999999999,66.53666666666666,1.0999999999999999,65.43666666666667
CH,2023,69.11,2.0553064275037336,4.041666666666667,96.73761666666667,64.44833333333334,12.421666666666667,1.9933333333333332,0.7183333333333333,78.86333333333333,0.7183333333333333,78.145
CY,2013,44.33,-1.254915084079311,15.908333333333333,,88.50166666666667,0.0,2.3583333333333334,0.19833333333333333,90.86,0.19833333333333333,90.66166666666668
CY,2014,50.1,-0.9573837160044008,16.150000000000002,,91.8,0.0,0.5499999999999999,0.06083333333333333,92.35000000000001,0.06083333333333333,92.28916666666667
CY,2015,54.04,-0.5645851154833292,14.924999999999999,,93.44916666666667,0.0,0.045000000000000005,0.03666666666666667,93.49416666666667,0.03666666666666667,93.4575
CY,2016,59.97,0.06882312456986117,13.0,,93.20833333333333,0.0175,0.15166666666666667,0.08916666666666667,93.3775,0.08916666666666667,93.28833333333334
CY,2017,63.04,-0.42125171939476624,11.108333333333334,,89.33166666666666,0.3933333333333333,1.0991666666666666,0.12000000000000001,90.82416666666667,0.12000000000000001,90.70416666666667
CY,2018,68.96,1.0101010101010166,8.4,,91.985,0.6983333333333333,1.0791666666666666,0.0825,93.76249999999999,0.0825,93.67999999999999
CY,2019,71.72,0.7179487179487243,7.1499999999999995,,87.07583333333334,1.6475,0.8716666666666667,0.17916666666666667,89.59499999999998,0.17916666666666667,89.41583333333334
