geo,year,sm_participation,inflation,unemployment,cci,Facebook,Instagram,YouTube,LinkedIn,ent_share,prof_share,ent_minus_prof,d_sm,stress
EL,2019,56.69,1.0514985924821918,17.866666666666667,101.76052,,,,,0.0,0.0,0.0,3.6599999999999966,1.1100732270276976
EL,2020,59.41,-2.392462105694393,17.608333333333334,100.0672975,,,,,0.0,0.0,0.0,2.719999999999999,1.4474049237055004
EL,2021,62.05,4.356585243011835,14.8,99.70351333333332,,,,,0.0,0.0,0.0,2.6400000000000006,1.9202843543611523
EL,2022,67.03,7.5852638352638335,12.433333333333332,97.68853333333334,,,,,0.0,0.0,0.0,4.980000000000004,2.8601533033737323
EL,2023,68.1,3.685981308411224,11.041666666666666,99.054365,,,,,0.0,0.0,0.0,1.0699999999999932,1.293071843224636
EL,2024,68.67,2.942024805307164,10.141666666666667,98.32192,,,,,0.0,0.0,0.0,0.5700000000000074,1.3599377780918136
ES,2013,45.92,0.305079155672816,26.1,95.909125,85.2675,0.0,1.9941666666666664,0.1758333333333333,87.26166666666667,0.1758333333333333,87.08583333333333,,5.932018497152481
ES,2014,51.11,-1.1344019728730004,24.45,99.23013583333334,87.4575,0.0,0.5033333333333333,0.13,87.96083333333333,0.13,87.83083333333333,5.189999999999998,3.63654420566686
ES,2015,50.93,-0.1247193813918579,22.058333333333337,102.126975,91.58166666666666,0.0,0.0408333333333333,0.0458333333333333,91.6225,0.0458333333333333,91.57666666666668,-0.17999999999999972,1.7276777435180264
ES,2016,53.79,1.406926406926412,19.633333333333333,101.85509166666668,95.07416666666668,0.02,0.0466666666666666,0.0516666666666666,95.14083333333332,0.0516666666666666,95.08916666666666,2.8599999999999994,1.5191752132953833
ES,2017,57.17,1.22321648468926,17.25,102.77026666666666,92.74833333333332,0.7558333333333334,0.8233333333333334,0.0658333333333333,94.3275,0.0658333333333333,94.26166666666668,3.3800000000000026,0.469939526183893
ES,2018,58.06,1.2246553122465589,15.258333333333333,102.32166666666666,71.06666666666666,3.111666666666667,6.649166666666667,0.225,80.8275,0.225,80.6025,0.8900000000000006,0.24097263985989836
ES,2019,58.61,0.8492909222017397,14.116666666666667,101.8225,78.975,5.3525,2.2591666666666668,0.1283333333333333,86.58666666666666,0.1283333333333333,86.45833333333333,0.5499999999999972,0.18255808767405712
ES,2020,64.68,-0.5720187495034557,15.541666666666666,97.14844166666668,83.85166666666667,4.16,1.8341666666666665,0.1016666666666666,89.84583333333335,0.1016666666666666,89.74416666666667,6.070000000000007,2.728237607128577
ES,2021,64.66,6.568118258090294,14.925,100.032095,86.19,3.5383333333333336,1.4400000000000002,0.1666666666666666,91.16833333333334,0.1666666666666666,91.00166666666668,-0.020000000000010232,2.0858797332214527
ES,2022,63.22,5.480992727000067,13.05,96.0887425,90.7725,3.5708333333333333,0.8266666666666667,0.1008333333333333,95.17,0.1008333333333333,95.06916666666666,-1.4399999999999977,3.5372221136351905
ES,2023,64.49,3.2769405743531266,12.191666666666668,98.15721083333334,89.14999999999999,5.371666666666667,0.6891666666666666,0.1033333333333333,95.21083333333333,0.1033333333333333,95.1075,1.269999999999996,1.9655922024860732
ES,2024,64.7,2.835707894555717,11.358333333333334,99.62972333333332,86.42166666666667,6.2875000000000005,1.4933333333333332,0.2083333333333333,94.2025,0.2083333333333333,93.99416666666669,0.21000000000000796,0.9515482350963016
EU27_2020,2013,40.78,,11.6,,,,,,,,,,
EU27_2020,2014,43.61,,11.016666666666666,,,,,,,,,2.8299999999999983,
EU27_2020,2015,47.9,,10.191666666666666,,,,,,,,,4.289999999999999,
EU27_2020,2016,49.24,,9.266666666666667,,,,,,,,,1.3400000000000034,
EU27_2020,2017,51.8,,8.266666666666667,,,,,,,,,2.559999999999995,
EU27_2020,2018,53.73,,7.391666666666667,,,,,,,,,1.9299999999999997,
EU27_2020,2019,54.16,,6.816666666666666,,,,,,,,,0.4299999999999997,
EU27_2020,2020,57.26,,7.225,,,,,,,,,3.1000000000000014,
EU27_2020,2021,56.84,,7.05,,,,,,,,,-0.4199999999999946,
EU27_2020,2022,58.11,,6.208333333333333,,,,,,,,,1.269999999999996,
EU27_2020,2023,59.31,,6.066666666666666,,,,,,,,,1.2000000000000028,
EU27_2020,2024,64.82,,5.958333333333333,,,,,,,,,5.509999999999991,
FI,2013,51.31,1.9334229993275056,8.283333333333333,99.07343583333332,70.38916666666667,0.0,5.739166666666667,0.2791666666666667,76.12833333333333,0.2791666666666667,75.84916666666668,,0.40239035491248815
FI,2014,55.56,0.5525317499587734,8.758333333333333,98.65892166666669,77.36583333333333,0.0,1.2466666666666668,0.0633333333333333,78.6125,0.0633333333333333,78.54916666666666,4.25,0.5350031815683245
FI,2015,58.17,-0.254244238497503,9.441666666666666,99.13988083333334,74.60166666666667,0.0,0.0958333333333333,0.0775,74.6975,0.0775,74.62,2.6099999999999994,0.33305902413040156
FI,2016,61.66,1.093570136490718,8.908333333333333,100.20685416666667,74.7675,0.4666666666666666,0.2208333333333333,0.1791666666666666,75.455,0.1791666666666666,75.27583333333332,3.489999999999995,-0.1544471547570129
FI,2017,66.01,0.5124034160227664,8.733333333333333,102.11365833333332,67.91250000000001,4.009166666666666,2.4275,0.3041666666666666,74.34916666666668,0.3041666666666666,74.045,4.3500000000000085,-1.2597688567919216
FI,2018,66.94,1.3189836543129996,7.425000000000001,101.71199166666668,53.48166666666666,7.352499999999999,6.329166666666667,0.42,67.16333333333334,0.42,66.74333333333333,0.9299999999999926,-1.2433703339788051
FI,2019,66.68,1.134094720868939,6.741666666666667,99.63242583333331,49.3225,7.983333333333333,4.6375,0.5408333333333334,61.943333333333335,0.5408333333333334,61.4025,-0.2599999999999909,-0.35352847387408515
FI,2020,75.07,0.1895285477375052,7.766666666666667,98.8025975,40.906666666666666,9.79,4.473333333333334,0.4833333333333333,55.169999999999995,0.4833333333333333,54.68666666666667,8.389999999999986,0.1811480980517743
FI,2021,75.11,3.168597777252291,7.616666666666667,101.635775,48.343333333333334,6.703333333333333,4.18,1.2633333333333334,59.22666666666667,1.2633333333333334,57.96333333333333,0.04000000000000625,-0.9035107902498299
FI,2022,75.68,8.786003514401397,6.7749999999999995,96.35358833333332,54.25666666666667,12.045,3.7725,0.6041666666666666,70.07416666666667,0.6041666666666666,69.47,0.5700000000000074,2.406612391831996
FI,2023,79.22,1.3273404031182157,7.216666666666666,97.06764083333331,53.48916666666667,17.794999999999998,3.0741666666666667,0.5366666666666667,74.35833333333333,0.5366666666666667,73.82166666666667,3.539999999999992,1.1071344708830888
FI,2024,78.93,1.559467701691153,8.4,97.74436583333332,49.11083333333334,20.36583333333333,4.226666666666667,1.105,73.70333333333333,1.105,72.59833333333333,-0.28999999999999204,1.063688938216943
FR,2013,37.75,0.8393075712537224,10.3,97.58155083333332,74.575,0.0,6.0633333333333335,0.2608333333333333,80.63833333333334,0.2608333333333333,80.3775,,1.4875351359538023
FR,2014,38.53,0.0867001907404185,10.266666666666666,98.10643,79.37416666666667,0.0,2.0325,0.1216666666666666,81.40666666666667,0.1216666666666666,81.28500000000001,0.7800000000000011,1.1046292890706744
FR,2015,37.72,0.2772002772002846,10.341666666666669,99.48335833333331,81.20333333333333,0.0,0.3516666666666666,0.105,81.555,0.105,81.45,-0.8100000000000023,0.43755560234037644
FR,2016,39.85,0.8033863165169297,10.066666666666666,99.70175583333334,75.87,0.0725,0.5275,0.2366666666666666,76.47,0.2366666666666666,76.23333333333333,2.1300000000000026,0.33407282224376644
FR,2017,42.81,1.251178335761427,9.408333333333331,100.764725,66.925,1.6308333333333334,2.3725,0.2775,70.92833333333333,0.2775,70.65083333333332,2.960000000000001,-0.3049380889544971
FR,2018,41.92,1.89589504866694,9.025,99.75377166666668,70.07833333333333,1.4075,4.189166666666666,0.2841666666666667,75.675,0.2841666666666667,75.39083333333333,-0.8900000000000006,0.21755930154182207
FR,2019,42.32,1.619735858460003,8.424999999999999,100.11749,73.08833333333332,2.4275,2.585,0.2283333333333333,78.10083333333334,0.2283333333333333,77.8725,0.3999999999999986,-0.1472528300477697
FR,2021,44.83,3.3932951757972285,7.875,100.4734175,61.11166666666667,4.455,4.069166666666667,0.705,69.63583333333334,0.705,68.93083333333334,2.509999999999998,-0.21258663970144953
FR,2022,44.5,6.737841043890858,7.3,97.5506925,71.85333333333334,6.110833333333333,2.8049999999999997,0.6058333333333333,80.76916666666666,0.6058333333333333,80.16333333333334,-0.3299999999999983,1.6264117890885912
FR,2023,44.39,4.0972067866933415,7.341666666666666,98.01094166666668,64.86083333333333,13.7525,2.714166666666667,1.788333333333333,81.3275,1.788333333333333,79.53916666666667,-0.10999999999999943,1.0327249447879723
FR,2024,,1.7508896797153062,7.391666666666667,98.72321583333331,56.6675,16.423333333333336,3.74,0.9908333333333332,76.83083333333333,0.9908333333333332,75.84,,
HR,2013,37.84,0.4599370612442532,17.391666666666666,,81.9075,0.0,4.5249999999999995,0.1541666666666666,86.4325,0.1541666666666666,86.27833333333332,,
HR,2014,40.44,-0.0963855421686754,17.158333333333335,,83.42916666666666,0.0,1.1166666666666667,0.0766666666666666,84.54583333333333,0.0766666666666666,84.46916666666667,2.5999999999999943,
HR,2015,44.6,-0.3135552339604497,16.083333333333332,,87.43416666666667,0.0,0.1075,0.065,87.54166666666667,0.065,87.47666666666667,4.160000000000004,
HR,2016,50.39,0.7097346560206441,13.275,,87.87166666666667,0.0908333333333333,0.2366666666666666,0.145,88.19916666666667,0.145,88.05416666666667,5.789999999999999,
HR,2017,47.25,1.273324257227504,10.916666666666666,,80.57833333333333,2.984166666666667,2.4825,0.1566666666666666,86.045,0.1566666666666666,85.88833333333334,-3.1400000000000006,
HR,2018,53.93,0.9963624861616394,8.266666666666667,,63.379999999999995,14.1,4.920833333333333,0.155,82.40083333333332,0.155,82.24583333333334,6.68,
HR,2019,57.88,1.260569996868166,6.575,,78.39833333333333,3.481666666666667,2.0658333333333334,0.1091666666666666,83.94583333333334,0.1091666666666666,83.83666666666666,3.950000000000003,
HR,2020,57.17,-0.286089847676485,7.616666666666667,,81.91250000000001,4.2941666666666665,1.45,0.0783333333333333,87.65666666666668,0.0783333333333333,87.57833333333333,-0.7100000000000009,
HR,2021,60.89,5.210918114143914,7.491666666666667,,88.39333333333333,1.5875,1.2708333333333333,0.1091666666666666,91.25166666666668,0.1091666666666666,91.1425,3.719999999999999,
HR,2022,60.14,12.662146226415103,6.716666666666666,,78.33749999999999,6.465833333333333,2.58,0.2133333333333333,87.38333333333333,0.2133333333333333,87.17,-0.75,
HR,2023,62.76,5.351301844825307,6.041666666666667,,73.55083333333333,10.295,2.5016666666666665,0.2383333333333333,86.34750000000001,0.2383333333333333,86.10916666666667,2.6199999999999974,
HR,2024,61.0,4.501987083954306,5.125,,76.79083333333334,9.444166666666666,2.415833333333333,0.3175,88.65083333333332,0.3175,88.33333333333333,-1.759999999999998,
HU,2013,56.44,0.5994284519411863,9.916666666666666,99.79000083333334,95.275,0.0,1.4908333333333337,0.0258333333333333,96.76583333333332,0.0258333333333333,96.74,,0.22556925496415817
HU,2014,60.02,-0.8452851105106296,7.525,101.732025,93.2025,0.0,0.4675,0.0233333333333333,93.67,0.0233333333333333,93.64666666666666,3.5800000000000054,-1.530333457521793
HU,2015,60.75,0.9573055691425968,6.533333333333334,101.632375,95.22333333333334,0.0,0.0441666666666666,0.0174999999999999,95.2675,0.0174999999999999,95.25,0.7299999999999969,-1.458638426166365
HU,2016,65.62,1.8064784053156255,4.875,101.996975,95.49333333333334,0.02,0.0925,0.06,95.60583333333334,0.06,95.54583333333332,4.8700000000000045,-1.9128767351825369
HU,2017,64.57,2.1823373444829652,4.033333333333333,102.419375,95.19416666666666,0.1825,0.7208333333333333,0.0358333333333333,96.0975,0.0358333333333333,96.06166666666668,-1.0500000000000114,-2.2735827137097453
HU,2018,65.32,2.80106453759148,3.483333333333333,102.82894166666668,91.4725,0.3816666666666666,2.1766666666666667,0.0441666666666666,94.03083333333336,0.0441666666666666,93.98666666666668,0.75,-2.526552836795033
HU,2019,68.86,4.103294285159542,3.2583333333333333,102.598775,90.63833333333334,0.62,0.9591666666666666,0.0316666666666666,92.2175,0.0316666666666666,92.18583333333332,3.5400000000000063,-2.279424099971953
HU,2020,73.99,2.8225054398507865,4.133333333333334,100.6078225,90.51416666666668,0.8308333333333334,0.7575,0.0283333333333333,92.1025,0.0283333333333333,92.07416666666668,5.1299999999999955,-1.2266110305666469
HU,2021,77.24,7.388596650341639,4.041666666666667,101.00945833333331,93.86333333333332,0.4291666666666667,0.5416666666666666,0.0366666666666666,94.83416666666666,0.0366666666666666,94.7975,3.25,-0.8227407524376329
HU,2022,78.54,24.998592421597877,3.6666666666666665,98.91153333333334,93.8125,1.1141666666666667,0.4691666666666667,0.1999999999999999,95.39583333333331,0.1999999999999999,95.19583333333333,1.3000000000000114,2.6125304566031646
HU,2023,81.32,5.490743660195485,4.075,98.86398416666668,92.615,1.8983333333333337,0.9616666666666666,0.1033333333333333,95.475,0.1033333333333333,95.37166666666668,2.779999999999987,0.029667683345878104
HU,2024,81.01,4.795046968403072,4.366666666666666,100.03124,94.76166666666668,1.538333333333333,1.0375,0.0675,97.3375,0.0675,97.27,-0.30999999999998806,-0.6017840836266592
IE,2013,47.51,0.3676470588235281,13.766666666666666,97.78805333333334,66.23,0.0,2.0175,0.3083333333333333,68.2475,0.3083333333333333,67.93916666666667,,2.117574793453262
